accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,label
5.98995,-2.25105,7.83405,-8.31935,-52.98857,62.38723,non-fall
9.38205,-4.68405,3.13695,-17.48954,-87.92037,63.86045,non-fall
7.54305,-5.376,1.65,20.30992,-26.25006,29.97644,non-fall
7.61805,-5.49105,0.96795,19.33303,-29.60616,17.09563,non-fall
8.05095,-4.43205,2.26305,39.63507,-2.1665,-21.82253,non-fall
9.43995,-4.62405,4.31205,78.48232,11.47849,-76.14251,non-fall
8.74305,-2.328,5.68005,56.99068,40.17867,-44.70861,non-fall
6.66495,0.765,5.87295,48.30894,68.80793,-39.80839,non-fall
4.824,3.47295,6.606,14.01526,78.60838,-33.64766,non-fall
2.46795,4.56195,8.28705,22.34249,39.96595,-31.7569,non-fall
1.062,4.46595,7.71705,17.85981,40.17867,-16.07934,non-fall
-0.225,4.26795,7.28805,-4.74266,47.94654,10.87187,non-fall
-1.08495,4.97595,6.666,-0.12605,49.63247,48.94707,non-fall
-2.47095,5.721,9.237,7.08247,78.46658,57.3452,non-fall
-3.77805,5.577,5.17395,-6.49949,102.82587,79.25439,non-fall
-3.55995,6.02505,6.192,-40.72226,63.07262,48.94707,non-fall
-3.76095,5.733,6.738,-18.81307,29.47223,55.39141,non-fall
-2.526,6.42,6.92205,6.03468,0.84296,66.31055,non-fall
-2.31495,6.37905,6.66105,-21.40499,21.27894,34.66395,non-fall
-0.32295,5.817,8.88105,-17.13502,25.20226,49.36461,non-fall
1.33695,6.23805,8.14995,-26.37611,26.39187,46.00851,non-fall
1.62705,5.448,7.44705,-10.97429,24.08356,53.28794,non-fall
1.668,5.42205,8.229,-11.25791,23.72905,35.43601,non-fall
2.298,5.379,7.554,5.68016,30.10249,0.15756,non-fall
1.71795,6.19695,7.20705,-1.875,-14.14131,-20.20751,non-fall
-1.45305,4.722,8.67495,3.44276,11.5494,-0.81933,non-fall
-0.23895,4.71105,8.814,-16.08722,24.77684,-2.29255,non-fall
-0.474,5.223,8.754,-12.65234,12.59719,-6.63342,non-fall
-1.12995,4.87095,8.46195,-0.54359,10.14708,2.82038,non-fall
0.411,3.90105,10.2,-6.70432,39.13087,-2.36345,non-fall
-0.21495,3.69105,8.45895,-16.99321,30.30732,28.50322,non-fall
0.09705,3.63795,8.301,6.45222,31.91446,73.44817,non-fall
0.57405,2.92005,9.45495,11.70696,62.99384,104.38575,non-fall
-0.069,2.496,8.19105,-0.6145,63.13565,102.07745,non-fall
-0.79005,2.78295,10.65495,-16.50477,45.98488,82.8232,non-fall
-1.48905,2.256,9.063,2.25316,51.51535,83.0359,non-fall
0.23895,1.94805,9.594,3.58457,56.41557,54.61935,non-fall
1.48095,1.64595,6.12195,14.77945,23.87085,21.85404,non-fall
-0.31095,1.68405,10.53,-5.51472,9.58773,4.42753,non-fall
-1.14,1.818,8.70105,-20.00267,19.17546,37.88612,non-fall
1.14795,2.19195,12.97695,18.77368,26.6676,0.85872,non-fall
1.11705,2.73795,10.89705,32.14293,-2.17437,7.43699,non-fall
0.97095,3.94905,7.45095,17.16653,0.63025,-18.18282,non-fall
0.73395,5.316,6.49605,16.32357,-1.89076,-45.20494,non-fall
-1.07505,6.86805,7.88505,23.88661,4.90022,-34.84515,non-fall
-1.24695,7.66995,6.32805,32.77319,20.79049,-25.17863,non-fall
-1.02,8.316,6.573,48.1041,32.89923,-12.79415,non-fall
-0.93105,8.41905,4.41105,61.18975,24.07569,-3.34034,non-fall
-1.88895,9.55395,2.23905,73.36939,12.38448,-21.54679,non-fall
-2.01105,9.19695,-0.147,77.0091,-7.70485,-33.65554,non-fall
-7.47495,5.83605,-0.69105,51.74382,-55.43868,-56.68343,non-fall
-4.15395,6.93195,-1.074,55.87198,-60.40981,-83.63465,non-fall
-8.15205,3.111,1.971,80.51489,-71.12411,-56.26588,non-fall
-9.53895,1.995,2.86395,34.87666,-31.29209,-15.80361,non-fall
-8.40105,2.38305,1.86495,3.58457,-11.27366,-29.38557,non-fall
-8.86605,0.81,3.15795,-11.81725,-32.6235,-28.4008,non-fall
-7.161,0.23295,5.895,-25.95857,-18.20645,-0.89811,non-fall
-6.237,0.444,7.28595,-6.14497,-20.37295,1.13446,non-fall
3.51105,-23.98605,-24.55695,-312.81061,-193.55087,17.45015,fall
-2.69805,2.66595,-5.99895,-51.85411,11.19488,49.79004,fall
4.03305,13.08105,40.971,255.22906,104.85844,47.12721,fall
6.09705,-21.63495,-24.98595,-344.10269,-272.50589,-20.91654,fall
9.06105,-3.97695,41.12505,419.44952,227.427,68.26434,fall
14.961,-16.41795,-9.77505,-392.53769,-229.31775,137.42679,fall
0.72495,-22.71705,-10.21005,282.18027,147.76294,-26.79366,fall
18.61005,-17.88105,35.42595,526.33264,215.03464,267.69232,fall
5.90295,-31.30305,-33.09495,-67.60258,64.60887,129.51711,fall
-1.554,-33.53505,-34.84995,-289.01065,-103.464,72.60521,fall
4.038,2.97495,-1.30605,-55.84834,7.13762,70.78535,fall
26.28105,17.307,-3.88695,14.01526,-240.72534,-30.14976,fall
28.86,-24.16605,13.27905,-168.68736,296.72339,430.43954,fall
43.21605,-2.05005,-18.03705,-88.88151,-99.32796,-166.71783,fall
-9.91005,-10.69095,43.38705,456.61871,214.89284,70.29691,fall
53.01105,-13.95195,44.007,306.95712,269.77219,371.92053,fall
7.09305,-10.72905,-32.52,-184.22313,-208.73997,-13.48743,fall
-5.49,-17.97195,39.882,-101.13206,-252.62927,-167.97833,fall
7.31805,-35.35695,-23.90595,-449.16599,-370.85696,-11.67545,fall
29.26695,-31.119,-27.59805,-514.47595,-544.45239,83.10681,fall
14.92305,-19.87305,-2.90805,14.50371,-535.84155,-344.37845,fall
3.459,17.88105,13.083,156.11382,-31.29209,37.61038,fall
2.832,-0.46695,3.01905,-46.74906,-2.79675,-30.99272,fall
1.95795,2.82105,11.634,19.82148,-78.32476,-0.89023,fall
1.785,-8.39505,8.18595,-97.84686,-2.1665,-115.69092,fall
-0.22005,3.08205,8.14305,62.37934,-4.96325,-27.41603,fall
-0.56505,-7.188,2.42295,-115.62789,4.69539,-50.4518,fall
12.09,-2.21295,5.397,25.07622,-74.05479,-202.48471,fall
5.73105,-4.506,11.99805,-100.64362,-200.12126,-265.48645,fall
4.06695,-12.228,31.78695,-149.71674,-247.93387,-203.39857,fall
8.37,0.26205,7.545,69.17033,-144.26505,-57.51852,fall
0.07995,1.85895,1.197,-20.499,-103.17251,-117.51078,fall
58.992,-17.151,36.79305,474.25797,-379.94836,794.50555,fall
5.04105,0.951,0.23295,49.29371,-159.31235,-19.78996,fall
-0.19905,7.902,24.53505,41.17131,-34.51426,-5.37291,fall
0.08295,-2.71305,-3.17595,-60.8825,-22.53944,-7.89393,fall
1.15305,-0.36,-1.05,-27.49481,-44.80315,-121.99346,fall
2.72595,5.58195,4.73895,46.9854,-242.05676,-41.0689,fall
8.51805,15.26505,18.74505,-6.91703,-515.61041,526.68713,fall
3.14805,14.72595,19.617,119.43306,-100.88784,-28.40868,fall
0.29595,2.529,-2.02395,91.50494,-73.86572,-38.56364,fall
-1.82205,-1.068,-2.86905,21.3656,-120.41782,-24.49323,fall
0.94695,4.026,-5.19705,-24.83987,-62.10361,-24.00478,fall
-0.28695,5.12205,-9.01305,10.02103,84.61154,-20.15236,fall
4.10295,9.46095,-3.315,-72.92822,22.87033,-3.70274,fall
1.938,7.806,-1.68405,-118.28284,30.92182,-51.72018,fall
1.14405,7.002,3.49395,-104.35423,-3.86818,-23.02001,fall
0.28605,3.04605,0.46995,-122.34798,-5.90075,-12.73112,fall
-29.478,21.11895,-3.75795,178.36964,-88.49548,299.32318,fall
-3.58695,-0.97305,14.21805,42.85725,142.78395,166.37906,fall
-4.97295,-0.168,11.718,11.91967,159.4384,160.43105,fall
-4.116,0.90405,12.621,10.23374,178.82658,169.17581,fall
-2.93295,-2.112,17.148,30.7485,184.49886,234.9743,fall
-1.125,-2.778,16.05195,32.91499,224.25998,213.34872,fall
-1.839,0.88905,15.79095,-0.12605,226.91492,165.95364,fall
